Banana,89,0.05,0.92,0.03
Fragole,32,0.09,0.81,0.10
Mirtilli,57,0.05,0.89,0.06
Avocado,160,0.05,0.21,0.74
Broccoli,34,0.33,0.57,0.10
Spinaci,23,0.45,0.40,0.15
Patate,77,0.10,0.89,0.01
Carote,41,0.09,0.87,0.04
Pomodori,18,0.20,0.69,0.11
Peperoni,31,0.13,0.81,0.06
Tacchino,135,0.85,0.00,0.15
Manzo,250,0.42,0.00,0.58
Maiale,145,0.60,0.00,0.40
Salmone,208,0.38,0.00,0.62
Tonno,116,0.90,0.00,0.10
Merluzzo,82,0.88,0.00,0.12
Gamberi,99,0.85,0.04,0.11
Albume d'uovo,52,0.85,0.12,0.03
Agnello,294,0.34,0.00,0.66
Bresaola,151,0.85,0.07,0.08
Latte intero,61,0.21,0.31,0.48
Yogurt Greco,59,0.68,0.27,0.05
Parmigiano Reggiano,431,0.31,0.00,0.69
Mozzarella,280,0.29,0.04,0.67
Ricotta,174,0.22,0.08,0.70
Fiocchi di latte,98,0.45,0.13,0.42
Burro,717,0.01,0.01,0.98
Pasta di semola,350,0.15,0.82,0.03
Pane integrale,247,0.15,0.78,0.07
Avena,389,0.17,0.70,0.13
Quinoa,368,0.15,0.78,0.07
Lenticchie secche,352,0.28,0.69,0.03
Ceci secchi,364,0.21,0.71,0.08
Fagioli cannellini,337,0.28,0.70,0.02
Farro,335,0.18,0.79,0.03
Couscous,376,0.14,0.85,0.01
Mais,96,0.14,0.74,0.12
Noci,654,0.09,0.08,0.83
Pistacchi,562,0.14,0.20,0.66
Nocciole,628,0.10,0.09,0.81
Semi di zucca,559,0.21,0.10,0.69
Semi di chia,486,0.14,0.35,0.51
Olio d'oliva,884,0.00,0.00,1.00
Burro d'arachidi,588,0.17,0.13,0.70
Cioccolato fondente (85%),598,0.06,0.13,0.81
Miele,304,0.01,0.99,0.00
Tofu,76,0.42,0.10,0.48
Seitan,370,0.81,0.15,0.04
Zucchero bianco,387,0.00,1.00,0.00
Marmellata di frutta,250,0.01,0.98,0.01
